2026-04-04 18:11:03 INFO __main__: ============================================================
2026-04-04 18:11:03 INFO __main__: Stage 1: Loading accepted pairs
2026-04-04 18:11:03 INFO __main__: ============================================================
2026-04-04 18:11:03 INFO __main__: Loaded 77 accepted pairs from data/processed/accepted_pairs.json
2026-04-04 18:11:03 INFO __main__: Stage 1 complete in 0.0s
2026-04-04 18:11:03 INFO __main__: ============================================================
2026-04-04 18:11:03 INFO __main__: Stage 2: Fetching raw trades
2026-04-04 18:11:03 INFO __main__: ============================================================
2026-04-04 18:11:10 INFO src.data.trade_fetcher: Processed 10/77 pairs
2026-04-04 18:11:16 INFO src.data.trade_fetcher: Processed 20/77 pairs
2026-04-04 18:11:29 INFO src.data.trade_fetcher: Processed 30/77 pairs
2026-04-04 18:11:50 INFO src.data.trade_fetcher: Processed 40/77 pairs
2026-04-04 18:12:06 INFO src.data.trade_fetcher: Processed 50/77 pairs
2026-04-04 18:12:13 INFO src.data.trade_fetcher: Processed 60/77 pairs
2026-04-04 18:12:32 INFO src.data.trade_fetcher: Processed 70/77 pairs
2026-04-04 18:12:38 INFO src.data.trade_fetcher: Trade fetch complete. Stats: {'kalshi_fetched': 74, 'kalshi_cached': 0, 'kalshi_empty': 3, 'polymarket_fetched': 77, 'polymarket_cached': 0, 'polymarket_empty': 0}
2026-04-04 18:12:38 INFO __main__: Trade fetch stats: {
  "kalshi_fetched": 74,
  "kalshi_cached": 0,
  "kalshi_empty": 3,
  "polymarket_fetched": 77,
  "polymarket_cached": 0,
  "polymarket_empty": 0
}
2026-04-04 18:12:38 INFO __main__: Stage 2 complete in 95.0s
2026-04-04 18:12:38 INFO __main__: ============================================================
2026-04-04 18:12:38 INFO __main__: Stage 3: Reconstructing candles from raw trades
2026-04-04 18:12:40 INFO src.data.trade_reconstructor: Reconstructed 4 candles from 4 trades (bar_seconds=14400)
2026-04-04 18:12:40 INFO src.data.trade_reconstructor: Reconstructed 3 candles from 3 trades (bar_seconds=14400)
2026-04-04 18:12:40 INFO src.data.trade_reconstructor: Reconstructed 1 candles from 1 trades (bar_seconds=14400)
2026-04-04 18:12:40 INFO src.data.trade_reconstructor: Reconstructed 2 candles from 2 trades (bar_seconds=14400)
2026-04-04 18:12:40 INFO src.data.trade_reconstructor: Reconstructed 2 candles from 2 trades (bar_seconds=14400)
2026-04-04 18:12:40 INFO src.data.trade_reconstructor: Reconstructed 91 candles from 867 trades (bar_seconds=14400)
2026-04-04 18:12:40 INFO src.data.trade_reconstructor: Reconstructed 27 candles from 142 trades (bar_seconds=14400)
2026-04-04 18:12:40 INFO src.data.trade_reconstructor: Reconstructed 6 candles from 31 trades (bar_seconds=14400)
2026-04-04 18:12:40 INFO src.data.trade_reconstructor: Reconstructed 9 candles from 74 trades (bar_seconds=14400)
2026-04-04 18:12:40 INFO src.data.trade_reconstructor: Reconstructed 45 candles from 257 trades (bar_seconds=14400)
2026-04-04 18:12:40 INFO src.data.trade_reconstructor: Reconstructed 145 candles from 1844 trades (bar_seconds=14400)
2026-04-04 18:12:40 INFO src.data.trade_reconstructor: Reconstructed 663 candles from 1089 trades (bar_seconds=14400)
2026-04-04 18:12:40 INFO src.data.trade_reconstructor: Reconstructed 127 candles from 1611 trades (bar_seconds=14400)
2026-04-04 18:12:40 INFO src.data.trade_reconstructor: Reconstructed 136 candles from 451 trades (bar_seconds=14400)
2026-04-04 18:12:40 INFO src.data.trade_reconstructor: Reconstructed 2 candles from 5 trades (bar_seconds=14400)
2026-04-04 18:12:40 INFO src.data.trade_reconstructor: Reconstructed 120 candles from 364 trades (bar_seconds=14400)
2026-04-04 18:12:40 INFO src.data.trade_reconstructor: Reconstructed 31 candles from 127 trades (bar_seconds=14400)
2026-04-04 18:12:40 INFO src.data.trade_reconstructor: Reconstructed 64 candles from 161 trades (bar_seconds=14400)
2026-04-04 18:12:40 INFO src.data.trade_reconstructor: Reconstructed 34 candles from 198 trades (bar_seconds=14400)
2026-04-04 18:12:40 INFO src.data.trade_reconstructor: Reconstructed 12 candles from 74 trades (bar_seconds=14400)
2026-04-04 18:12:40 INFO src.data.trade_reconstructor: Reconstructed 19 candles from 157 trades (bar_seconds=14400)
2026-04-04 18:12:40 INFO src.data.trade_reconstructor: Reconstructed 55 candles from 150 trades (bar_seconds=14400)
2026-04-04 18:12:40 INFO src.data.trade_reconstructor: Reconstructed 59 candles from 185 trades (bar_seconds=14400)
2026-04-04 18:12:40 INFO src.data.trade_reconstructor: Reconstructed 16 candles from 70 trades (bar_seconds=14400)
2026-04-04 18:12:40 INFO src.data.trade_reconstructor: Reconstructed 50 candles from 132 trades (bar_seconds=14400)
2026-04-04 18:12:40 INFO src.data.trade_reconstructor: Reconstructed 30 candles from 155 trades (bar_seconds=14400)
2026-04-04 18:12:40 INFO src.data.trade_reconstructor: Reconstructed 449 candles from 1080 trades (bar_seconds=14400)
2026-04-04 18:12:40 INFO src.data.trade_reconstructor: Reconstructed 133 candles from 417 trades (bar_seconds=14400)
2026-04-04 18:12:40 INFO src.data.trade_reconstructor: Reconstructed 52 candles from 281 trades (bar_seconds=14400)
2026-04-04 18:12:40 INFO src.data.trade_reconstructor: Reconstructed 112 candles from 1281 trades (bar_seconds=14400)
2026-04-04 18:12:40 INFO src.data.trade_reconstructor: Reconstructed 139 candles from 2102 trades (bar_seconds=14400)
2026-04-04 18:12:40 INFO src.data.trade_reconstructor: Reconstructed 1009 candles from 2663 trades (bar_seconds=14400)
2026-04-04 18:12:40 INFO src.data.trade_reconstructor: Reconstructed 132 candles from 1855 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 866 candles from 3392 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 45 candles from 282 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 36 candles from 111 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 125 candles from 1658 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 152 candles from 673 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 118 candles from 1096 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 80 candles from 226 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 122 candles from 1543 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 106 candles from 772 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 24 candles from 228 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 72 candles from 284 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 13 candles from 74 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 26 candles from 168 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 28 candles from 165 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 7 candles from 21 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 121 candles from 1528 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 110 candles from 761 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 94 candles from 345 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 144 candles from 953 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 8 candles from 10 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 115 candles from 1073 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 147 candles from 1112 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 162 candles from 729 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 120 candles from 1568 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 344 candles from 1443 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 44 candles from 119 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 71 candles from 249 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 20 candles from 69 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 127 candles from 1894 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 114 candles from 1548 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 134 candles from 808 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 65 candles from 243 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 119 candles from 1314 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 134 candles from 730 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 120 candles from 1613 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 100 candles from 1000 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 125 candles from 1593 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 56 candles from 152 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 93 candles from 413 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 15 candles from 44 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 63 candles from 232 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 105 candles from 468 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 23 candles from 186 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 40 candles from 229 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 69 candles from 186 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 23 candles from 65 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 86 candles from 766 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 121 candles from 835 trades (bar_seconds=14400)
2026-04-04 18:12:41 INFO src.data.trade_reconstructor: Reconstructed 68 candles from 237 trades (bar_seconds=14400)
2026-04-04 18:12:42 INFO __main__: Reconstructed candles for 74 Kalshi markets, 77 Polymarket markets
2026-04-04 18:12:42 INFO __main__: Stage 3 complete in 3.0s
2026-04-04 18:12:42 INFO __main__: ============================================================
2026-04-04 18:12:42 INFO __main__: Stage 4: Aligning cross-platform pairs and validating
2026-04-04 18:12:42 INFO __main__: ============================================================
2026-04-04 18:12:42 INFO src.data.aligner: Pair kxuejpn26feb2.1-0x4f0e5c99: excluded (insufficient trades: kalshi=1, poly=70)
/Users/iansabia/Desktop/DS340 Project/src/data/aligner.py:124: FutureWarning: Downcasting object dtype arrays on .fillna, .ffill, .bfill is deprecated and will change in a future version. Call result.infer_objects(copy=False) instead. To opt-in to the future behavior, set `pd.set_option('future.no_silent_downcasting', True)`
  original_has_trade = merged[has_trade_col].fillna(False).astype(bool).copy()
/Users/iansabia/Desktop/DS340 Project/src/data/aligner.py:124: FutureWarning: Downcasting object dtype arrays on .fillna, .ffill, .bfill is deprecated and will change in a future version. Call result.infer_objects(copy=False) instead. To opt-in to the future behavior, set `pd.set_option('future.no_silent_downcasting', True)`
  original_has_trade = merged[has_trade_col].fillna(False).astype(bool).copy()
2026-04-04 18:12:42 INFO src.data.aligner: Pair kxu326febt4.3-0x89655f46: included (136 bars, staleness=0.11, mean_|spread|=0.170)
/Users/iansabia/Desktop/DS340 Project/src/data/aligner.py:124: FutureWarning: Downcasting object dtype arrays on .fillna, .ffill, .bfill is deprecated and will change in a future version. Call result.infer_objects(copy=False) instead. To opt-in to the future behavior, set `pd.set_option('future.no_silent_downcasting', True)`
  original_has_trade = merged[has_trade_col].fillna(False).astype(bool).copy()
/Users/iansabia/Desktop/DS340 Project/src/data/aligner.py:128: FutureWarning: Downcasting object dtype arrays on .fillna, .ffill, .bfill is deprecated and will change in a future version. Call result.infer_objects(copy=False) instead. To opt-in to the future behavior, set `pd.set_option('future.no_silent_downcasting', True)`
  merged[ffill_cols] = merged[ffill_cols].ffill(limit=FFILL_LIMIT)
/Users/iansabia/Desktop/DS340 Project/src/data/aligner.py:124: FutureWarning: Downcasting object dtype arrays on .fillna, .ffill, .bfill is deprecated and will change in a future version. Call result.infer_objects(copy=False) instead. To opt-in to the future behavior, set `pd.set_option('future.no_silent_downcasting', True)`
  original_has_trade = merged[has_trade_col].fillna(False).astype(bool).copy()
2026-04-04 18:12:42 INFO src.data.aligner: Pair kxu326jant4.4-0x9fec3f27: included (198 bars, staleness=0.05, mean_|spread|=0.142)
/Users/iansabia/Desktop/DS340 Project/src/data/aligner.py:124: FutureWarning: Downcasting object dtype arrays on .fillna, .ffill, .bfill is deprecated and will change in a future version. Call result.infer_objects(copy=False) instead. To opt-in to the future behavior, set `pd.set_option('future.no_silent_downcasting', True)`
  original_has_trade = merged[has_trade_col].fillna(False).astype(bool).copy()
/Users/iansabia/Desktop/DS340 Project/src/data/aligner.py:124: FutureWarning: Downcasting object dtype arrays on .fillna, .ffill, .bfill is deprecated and will change in a future version. Call result.infer_objects(copy=False) instead. To opt-in to the future behavior, set `pd.set_option('future.no_silent_downcasting', True)`
  original_has_trade = merged[has_trade_col].fillna(False).astype(bool).copy()
2026-04-04 18:12:42 INFO src.data.aligner: Pair kxu325dect4.5-0x62069242: included (141 bars, staleness=0.37, mean_|spread|=0.113)
/Users/iansabia/Desktop/DS340 Project/src/data/aligner.py:124: FutureWarning: Downcasting object dtype arrays on .fillna, .ffill, .bfill is deprecated and will change in a future version. Call result.infer_objects(copy=False) instead. To opt-in to the future behavior, set `pd.set_option('future.no_silent_downcasting', True)`
  original_has_trade = merged[has_trade_col].fillna(False).astype(bool).copy()
/Users/iansabia/Desktop/DS340 Project/src/data/aligner.py:124: FutureWarning: Downcasting object dtype arrays on .fillna, .ffill, .bfill is deprecated and will change in a future version. Call result.infer_objects(copy=False) instead. To opt-in to the future behavior, set `pd.set_option('future.no_silent_downcasting', True)`
  original_has_trade = merged[has_trade_col].fillna(False).astype(bool).copy()
2026-04-04 18:12:42 INFO src.data.aligner: Pair kxu326jant4.6-0xd20abdc5: excluded (mean |spread| 0.425)
/Users/iansabia/Desktop/DS340 Project/src/data/aligner.py:124: FutureWarning: Downcasting object dtype arrays on .fillna, .ffill, .bfill is deprecated and will change in a future version. Call result.infer_objects(copy=False) instead. To opt-in to the future behavior, set `pd.set_option('future.no_silent_downcasting', True)`
  original_has_trade = merged[has_trade_col].fillna(False).astype(bool).copy()
/Users/iansabia/Desktop/DS340 Project/src/data/aligner.py:124: FutureWarning: Downcasting object dtype arrays on .fillna, .ffill, .bfill is deprecated and will change in a future version. Call result.infer_objects(copy=False) instead. To opt-in to the future behavior, set `pd.set_option('future.no_silent_downcasting', True)`
  original_has_trade = merged[has_trade_col].fillna(False).astype(bool).copy()
2026-04-04 18:12:42 INFO src.data.aligner: Pair kxu326febt4.4-0x40df1e1b: excluded (mean |spread| 0.310)
